CoinMarketCap,Name,Symbol,MarketCap,CoinGecko,Name,Return,Rank - Return,Max Return,Rank - Overall Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Max),,,,Return (30%),Max Return (30%)
,SmartCoin,SMC,5286,,SmartCoin,72856366511,1,72856366511,1,146887835.7,TRUE,TRUE,0.000000006807915681,0.00000004225384557,TRUE,TRUE,20260158587,20260158587
,BitBay,BAY,170012,,BitBay,29215731058,2,29215731058,2,117805367.2,TRUE,TRUE,0.000000008488577592,0.00000005268500134,TRUE,TRUE,4124814344,4124814344
,GlobalBoost-Y,BSTY,5696,,GlobalBoost-Y,7392701.355,3,13378949.75,3,44713.91948,TRUE,TRUE,0.00001235772138,0.00007669913602,TRUE,TRUE,3164716.48,4398281.081
,BunnyCoin,BUN,7546,,BunnyCoin,817422.4583,4,1102690.737,4,6592.116599,TRUE,TRUE,0.0001124522006,0.0006979431212,TRUE,TRUE,233412.8822,274965.4357
,NetCoin,NET,53288,,NetCoin,408509.1478,5,551654.647,5,4118.035764,TRUE,TRUE,0.0001798226491,0.001116082925,TRUE,TRUE,163387.1275,191705.1485
,Bitcoin Scrypt,BTCS,3686,,Bitcoin Scrypt,241262.2322,6,359681.2936,6,2918.494745,TRUE,TRUE,0.0002298330998,0.001426476585,TRUE,TRUE,39236.0609,48894.72384
,Anoncoin,ANC,270543,,Anoncoin,135455.1502,7,135455.1502,7,1911.665426,TRUE,TRUE,0.0005231040884,0.003246685242,TRUE,TRUE,63777.85374,63777.85374
,Truckcoin,TRK,8637,,Truckcoin,54645.68462,8,131438.4016,8,881.3820101,TRUE,TRUE,0.0004717038496,0.002927665757,TRUE,TRUE,27633.9473,45213.39374
,WorldCoin,WDC,468650,,WorldCoin,22119.45355,9,39928.92518,9,401.3610523,TRUE,TRUE,0.001380230268,0.008566503957,TRUE,TRUE,9309.161165,12962.8953
,Bitgem,BTG,3319,,Bitgem,7949.119063,10,15369.27312,10,160.2644972,TRUE,TRUE,0.003227218334,0.02002997562,TRUE,TRUE,3643.620299,5129.510735
,CannabisCoin,CANN,193676,,CannabisCoin,4782.399875,11,7159.534317,12,106.0612875,TRUE,TRUE,0.005773187403,0.03583172596,TRUE,TRUE,2207.5535,2778.605431
,GCN Coin,GCN,3109,,GCN Coin,4582.881173,12,10335.83673,11,110.8761574,TRUE,TRUE,0.004362579469,0.02707668071,TRUE,TRUE,1859.085462,2555.324376
,Verge,XVG,18993,,Verge,4313.650746,13,6243.585843,13,113.0593946,TRUE,TRUE,0.006110886774,0.03792768274,TRUE,TRUE,898.9945099,1072.151351
,FedoraCoin,TIPS,42113,,FedoraCoin,3332.091586,14,5999.666997,14,94.05097217,TRUE,TRUE,0.00590508964,0.03665038721,TRUE,TRUE,1294.507742,1803.040409
,Bitswift,BITS,158503,,Bitswift,2816.076036,15,5379.036402,15,85.16358979,TRUE,TRUE,0.006147321601,0.03815381826,TRUE,TRUE,1721.560597,2491.300687
,Sexcoin,SXC,18170,,Sexcoin,2344.047477,16,2988.182566,16,75.61443474,TRUE,TRUE,0.0103741988,0.06438825256,FALSE,TRUE,503.5318469,566.4036102
,WhiteCoin,XWC,64406,,WhiteCoin,1823.226813,17,2341.80112,21,62.48962868,TRUE,TRUE,0.01008584692,0.0625985747,FALSE,TRUE,301.0334211,348.4716748
,Infinitecoin,IFC,350207,,Infinitecoin,1711.712273,18,2862.617966,17,62.11859056,TRUE,TRUE,0.01019223345,0.06325887076,FALSE,TRUE,701.2145255,938.5818698
,Magi,XMG,35535,,Magi,1649.735632,19,2656.757417,19,63.19551815,TRUE,TRUE,0.009825986742,0.06098573277,FALSE,TRUE,884.5298939,1125.396652
,EarthCoin,EAC,48704,,EarthCoin,1589.997496,20,1966.616273,22,64.11280227,TRUE,TRUE,0.0114640842,0.07115270901,FALSE,TRUE,361.1493568,409.1061725
,CacheCoin,CACH,232,,CacheCoin,1193.651622,21,2466.627325,20,50.53766947,TRUE,TRUE,0.01005421441,0.06240224514,FALSE,TRUE,964.3098217,1409.268961
,GameCredits,GAME,11054,,GameCredits,1101.090681,22,1830.470706,23,48.83869954,TRUE,TRUE,0.01178124147,0.07312116968,FALSE,TRUE,255.5003606,342.8164997
,Bitmark,BTM,101392,,Bitmark,858.6794276,23,858.6794276,27,39.81779604,TRUE,TRUE,0.02139374693,0.1327819147,FALSE,FALSE,475.2666341,475.2666341
,MonetaryUnit,MUE,1263,,MonetaryUnit,807.7503278,24,2846.441213,18,39.08469328,TRUE,TRUE,0.009680704252,0.06008402597,FALSE,TRUE,238.6275596,428.1979496
,CloakCoin,CLOAK,22602,,CloakCoin,785.0968584,25,1387.234789,25,39.57141424,TRUE,TRUE,0.01430183279,0.08876541111,FALSE,TRUE,223.5167924,308.0837225
,Mincoin,MNC,7731,,Mincoin,696.1298853,26,1122.499745,26,36.49067947,TRUE,TRUE,0.01699503556,0.1054809786,FALSE,FALSE,753.2094541,987.7249303
,SuperCoin,SUPER,35063,,SuperCoin,647.8105247,27,1541.336454,24,35.26387937,TRUE,TRUE,0.01340827735,0.08321949144,FALSE,TRUE,334.5552963,536.5450501
,Groestlcoin,GRS,10863,,Groestlcoin,575.5111073,28,843.4838838,28,32.48853025,TRUE,TRUE,0.02100133275,0.1303463663,FALSE,FALSE,116.6898739,145.4498723
,Einsteinium,EMC2,41310,,Einsteinium,566.7675357,29,566.7675357,33,33.13761801,TRUE,TRUE,0.02651934362,0.1645943197,FALSE,FALSE,98.91276994,98.91276994
