CoinMarketCap,Name,Symbol,CoinGecko,Name,Price 2015-01-04,Price2021-06-30,Return,Dead?,symbol,symbolconsis?,Rank - Return,Max Overall Return,Rank - Overall Max,Max Monthly Return,Rank - Monthly Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Overall Max),p-value (Monthly Max),,,
,FedoraCoin,TIPS,,FedoraCoin,0.0000001484947498,0.0000124,83.50463579,0,tips,1,24,1157.567568,36,665.5405405,33,4.040546893,FALSE,FALSE,0.01190235297,0.02258360252,0.1401668438,FALSE,FALSE
,Bitcoin Plus,XBC,,Bitcoin Plus,0.1615,12.77473725,79.10054025,0,xbc,1,25,1210.617601,34,891.5807108,26,3.986922392,FALSE,FALSE,0.01205024219,0.02139674271,0.1328005082,FALSE,FALSE
,Litecoin,LTC,,Litecoin,1.939972243,144.0776023,74.26786793,0,ltc,1,26,198.2871765,69,131.8524124,60,3.893073722,FALSE,FALSE,0.03625249966,0.06269636268,0.3891297353,FALSE,FALSE
,MonaCoin,MONA,,MonaCoin,0.02100636558,1.499243742,71.37092497,0,mona,1,27,782.9296376,44,488.431555,37,3.885110835,FALSE,FALSE,0.01439813584,0.02744582177,0.1703445767,FALSE,FALSE
,Stellar,XLM,,Stellar,0.00440824505,0.281390665,63.83280916,0,xlm,1,28,198.6194052,68,112.1111476,65,3.603465033,FALSE,FALSE,0.03672409369,0.06806432181,0.4224463812,FALSE,FALSE
,Burst,BURST,,Burst,0.0004044508,0.024501691,60.58015215,0,burst,1,29,301.4874979,59,134.0330992,59,3.541984702,FALSE,FALSE,0.02788433922,0.06272166884,0.3892867999,FALSE,FALSE
,ReddCoin,RDD,,ReddCoin,0.0000306385743,0.001843869,60.18129244,0,rdd,1,30,998.8463399,40,397.3400654,40,3.639997527,FALSE,FALSE,0.01241432191,0.03120752494,0.193691873,FALSE,FALSE
,Bytecoin,BCN,,Bytecoin,0.000007793200065,0.000422481,54.21149161,0,bcn,1,31,8665.70154,12,833.5091142,27,3.388218226,FALSE,FALSE,0.004769761933,0.02203979543,0.1367916638,FALSE,FALSE
,Bytecoin,BTE,,Bytecoin,0.000007793200065,0.000422481,54.21149161,0,bcn,0,32,8665.70154,13,833.5091142,28,3.497515588,FALSE,FALSE,0.004402857169,0.02125265988,0.1319062472,FALSE,FALSE
,I/O Coin,IOC,,I/O Coin,0.001610470011,0.086842889,53.92394048,1,ioc,1,33,11301.05755,8,6502.237005,9,3.587681524,FALSE,FALSE,0.005486212218,0.008475715522,0.05260517192,FALSE,TRUE
,Myriad,XMY,,Myriad,0.00006876437288,0.003671341,53.39016189,0,xmy,1,34,885.5508721,43,282.5174419,47,3.659809484,FALSE,FALSE,0.01302565904,0.03735412377,0.2318412053,FALSE,FALSE
,Rubycoin,RBY,,Rubycoin,0.002000164079,0.103096148,51.54384536,0,rby,1,35,1235.921995,32,771.8833336,30,3.637166507,FALSE,FALSE,0.01254124456,0.02141947185,0.1329415783,FALSE,FALSE
,Phoenixcoin,PXC,,Phoenixcoin,0.0002557302047,0.012329156,48.21157521,0,pxc,1,36,309.504493,57,89.25084269,70,3.499227233,FALSE,FALSE,0.02811511491,0.0793910071,0.4927463135,FALSE,FALSE
,Sexcoin,SXC,,Sexcoin,0.0001950054719,0.008139725,41.7410082,0,sxc,1,37,1217.712366,33,1165.549601,21,3.113744563,FALSE,FALSE,0.01234306512,0.02026430072,0.125771921,FALSE,FALSE
,Unobtanium,UNO,,Unobtanium,1.900773371,77.41050058,40.7257918,0,uno,1,38,2466.506773,24,86.13122842,72,3.120121146,FALSE,FALSE,0.008378921516,0.07998131473,0.4964101026,FALSE,FALSE
,Vertcoin,VTC,,Vertcoin,0.01505303207,0.599004954,39.79297667,0,vtc,1,39,650.7106996,47,473.7260867,39,3.128883247,FALSE,FALSE,0.01621794677,0.02684662947,0.1666256442,FALSE,FALSE
,ExclusiveCoin,EXCL,,ExclusiveCoin,0.00293224,0.113058812,38.55714812,0,excl,1,40,1269.21981,30,990.9202709,25,3.109447429,FALSE,FALSE,0.0130263751,0.02002179245,0.124266775,FALSE,FALSE
,XRP,XRP,,XRP,0.018855,0.706366184,37.46306995,0,xrp,1,41,180.2413153,73,120.9249536,63,3.096745702,FALSE,FALSE,0.03769679852,0.0651066272,0.4040892251,FALSE,FALSE
,Blocknet,BLOCK,,Blocknet,0.0312119,1.157919711,37.09866144,0,block,1,42,1911.568661,25,1478.809992,19,3.141418912,FALSE,FALSE,0.01037891048,0.01765288529,0.1095639729,FALSE,FALSE
,DigitalNote,XDN,,DigitalNote,0.0000521452811,0.001808261,34.67736604,0,xdn,1,43,1239.080672,31,481.4709213,38,3.006303911,FALSE,FALSE,0.01291279927,0.02710990633,0.168259692,FALSE,FALSE
,GoldCoin,GLC,,GoldCoin,0.004154062339,0.135120201,32.52724441,0,glc,1,44,160.5630547,76,69.29067958,76,2.885481359,FALSE,FALSE,0.04064643515,0.09418749865,0.5845818617,FALSE,FALSE
,Infinitecoin,IFC,,Infinitecoin,0.000003901923508,0.000122557,31.40938047,0,ifc,1,45,168.9797436,75,107.1884615,67,2.849641373,FALSE,FALSE,0.03913684086,0.06906513041,0.4286579758,FALSE,FALSE
,Pinkcoin,PINK,,Pinkcoin,0.0001943760457,0.005771198,29.69089107,0,pink,1,46,581.4915422,49,283.9506935,46,2.753590704,FALSE,FALSE,0.01740773209,0.03797352478,0.2356855647,FALSE,FALSE
,Pandacoin,PND,,Pandacoin,0.00001304127684,0.000360326,27.62965655,0,pnd,1,47,185.7725385,72,60.52376923,82,2.618132778,FALSE,FALSE,0.03708238551,0.09994057813,0.6202887864,FALSE,FALSE
,Ubiq,UBQ,,Ubiq,0.007585976065,0.209187086,27.5755004,0,ubq,1,48,898.3840708,42,814.2656924,29,2.668596813,FALSE,FALSE,0.0131452952,0.0210047512,0.1303675831,FALSE,FALSE
,Mooncoin,MOON,,Mooncoin,0.000000379868,0.00000987,25.98270978,0,moon,1,49,2884.731579,22,767.3473684,31,2.566840281,FALSE,FALSE,0.007815442764,0.02085105216,0.1294136384,FALSE,FALSE
,Orbitcoin,ORB,,Orbitcoin,0.0108962,0.23681453,21.73368055,0,orb,1,50,270.930977,60,53.25474863,85,2.190895217,FALSE,FALSE,0.03051207639,0.1095732168,0.6800744897,FALSE,FALSE
,Zeitcoin,ZEIT,,Zeitcoin,0.000001764195675,0.0000383,21.70960997,0,zeit,1,51,402.3767045,53,114.5465909,64,2.232238121,FALSE,FALSE,0.02325803273,0.06765805895,0.4199248799,FALSE,FALSE
,PotCoin,POT,,PotCoin,0.0008691974639,0.017498751,20.13207784,0,pot,1,52,499.9283626,50,495.9378449,36,2.110621064,FALSE,FALSE,0.01984284298,0.02778125912,0.1724264941,FALSE,FALSE
,SmartCoin,SMC,,SmartCoin,0.000321226,0.006359648,19.79804873,0,smc,1,53,742.9682996,45,238.9079744,49,2.115517303,FALSE,FALSE,0.01483538696,0.0423696572,0.2629704944,FALSE,FALSE
,Gulden,NLG,,Gulden,0.001206874085,0.023824847,19.74095499,0,nlg,1,54,433.6944072,51,221.1979676,52,2.149216874,FALSE,FALSE,0.02242475355,0.04312183172,0.2676389227,FALSE,FALSE
,MaidSafeCoin,MAID,,MaidSafeCoin,0.039427,0.713913899,18.1072336,0,maid,1,55,32.2462668,110,24.08598169,103,2.007858564,FALSE,FALSE,0.1398329592,0.1999309824,1.240886822,FALSE,FALSE
,Stealth,XST,,Stealth,0.006357079669,0.097216176,15.29258418,0,xst,1,56,392.4052213,54,162.1899941,54,1.726582085,FALSE,FALSE,0.02340739798,0.05663225548,0.3514923935,FALSE,FALSE
,Viacoin,VIA,,Viacoin,0.03476342599,0.524807423,15.09653919,0,via,1,57,208.5077579,65,139.1369219,57,1.734884544,FALSE,FALSE,0.03659705187,0.06254094358,0.3881651149,FALSE,FALSE
,Diamond,DMD,,Diamond,0.1625266733,2.210097598,13.59836852,0,dmd,1,58,206.6422501,66,125.3194888,62,1.590131803,FALSE,FALSE,0.03636793304,0.06383683878,0.3962081868,FALSE,FALSE
,Fastcoin,FST,,Fastcoin,0.00015917096,0.001958812,12.3063403,0,fst,1,59,267.0329394,61,142.7018741,55,1.463859028,FALSE,FALSE,0.03044997954,0.06319595924,0.3922305193,FALSE,FALSE
,Auroracoin,AUR,,Auroracoin,0.01856623875,0.211699961,11.4024151,0,aur,1,60,124.8211465,80,97.42018316,69,1.379324407,FALSE,FALSE,0.04967107076,0.07378764404,0.4579686152,FALSE,FALSE
,NobleCoin,NOBL,,NobleCoin,0.00003155737868,0.000325908,10.32747375,0,nobl,1,61,390.9760759,55,66.38718354,79,1.2701127,FALSE,FALSE,0.02306581495,0.09457369145,0.5869787966,FALSE,FALSE
,GCN Coin,GCN,,GCN Coin,0.0000000476829,0.000000457,9.584148615,0,gcn,1,62,2842.431866,23,2467.505241,17,1.198018577,FALSE,FALSE,0.007586889822,0.01182427907,0.07338828585,FALSE,TRUE
,Curecoin,CURE,,Curecoin,0.007474483226,0.065147026,8.715923767,0,cure,1,63,172.0977745,74,110.7762739,66,1.107062898,FALSE,FALSE,0.03894706205,0.06784080427,0.4210591027,FALSE,FALSE
,Bitstar,BITS,,Bitstar,0.00303729504,0.02537761,8.355332513,0,bits,1,64,645.6073674,48,376.4289373,42,1.078107421,FALSE,FALSE,0.01600560008,0.03137251853,0.1947159183,FALSE,FALSE
,MintCoin,MINT,,MintCoin,0.000006844191363,0.0000553,8.079844217,0,mint,1,65,1078.835819,38,251.3304094,48,1.058850553,FALSE,FALSE,0.01209881184,0.04111453668,0.2551804936,FALSE,FALSE
,BlueCoin,BLU,,BlueCoin,0.0001578344152,0.001208409,7.656181946,0,blu,1,66,104.1518304,86,68.82420771,78,1.018766146,FALSE,FALSE,0.05537532886,0.09239444333,0.5734531277,FALSE,FALSE
,Energycoin,ENRG,,Energycoin,0.0000886525,0.000654035,7.377513324,0,enrg,1,67,5150.43752,18,3539.650248,14,0.9965592596,FALSE,FALSE,0.005350138789,0.01000905992,0.06212199035,FALSE,TRUE
,FairCoin,FAIR,,FairCoin,0.00557954,0.039098898,7.007548651,0,fair,1,68,257.5741731,62,216.5275783,53,0.9607123151,FALSE,FALSE,0.03105901458,0.04322077881,0.2682530453,FALSE,FALSE
,Bitswift,BITS,,Bitswift,0.0406489,0.277687249,6.831359496,0,bits,1,69,62.51324712,94,50.58009695,87,0.9503302524,FALSE,FALSE,0.08440764138,0.1127152728,0.6995758986,FALSE,FALSE
,Sativacoin,STV,,Sativacoin,0.000422857,0.002549971,6.030338862,0,stv,1,70,309.3952755,58,234.6310668,50,0.8510558877,FALSE,FALSE,0.02764012516,0.04227914119,0.2624086999,FALSE,FALSE
,BitBar,BTB,,BitBar,0.7669529959,4.535918979,5.914207263,0,btb,1,71,250.8132845,63,51.5862122,86,0.8465901526,FALSE,FALSE,0.03138994766,0.1118020032,0.6939076215,FALSE,FALSE
,BunnyCoin,BUN,,BunnyCoin,0.0000000970313319,0.000000565,5.82286143,0,bun,1,72,1185.814433,35,1004.123711,24,0.8452540785,FALSE,FALSE,0.01195079785,0.02058179329,0.1277424628,FALSE,FALSE
,CryptCoin,CRYPT,,CryptCoin,0.005117333628,0.028147841,5.500489717,0,crypt,1,73,192.579762,70,88.50565548,71,0.8095478818,FALSE,FALSE,0.03679365999,0.07893185418,0.489896546,FALSE,FALSE
,VeriCoin,VRC,,VeriCoin,0.009452466353,0.048958563,5.179448534,0,vrc,1,74,361.8913124,56,142.1377486,56,0.7727403055,FALSE,FALSE,0.02447459376,0.06231379731,0.3867553143,FALSE,FALSE
