CoinMarketCap,Name,Symbol,CoinGecko,Name,Price 2015-01-04,Price 2021-06-30,Return,Dead?,symbol,symbolconsis?,Rank - Return,Max Overall Return,Rank - Overall Max,Max Monthly Return,Rank - Monthly Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Overall Max),p-value (Monthly Max),,,
,WhiteCoin,XWC,,WhiteCoin,0.0002298859576,0.972437133,4230.084966,0,xwc,1,1,11308.13743,2,7239.10048,2,21.15042483,TRUE,TRUE,0.008843189308,0.01381387097,0.07319027248,FALSE,TRUE
,Einsteinium,EMC2,,Einsteinium,0.0002546904868,0.597602706,2346.388016,0,emc2,1,2,10136.56337,4,3261.739841,5,23.46388016,TRUE,TRUE,0.004932638231,0.01226339376,0.06497535212,FALSE,TRUE
,Dogecoin,DOGE,,Dogecoin,0.0001581355927,0.263482443,1666.180513,0,doge,1,3,4311.742026,7,1936.652116,7,24.9927077,TRUE,TRUE,0.006626423473,0.01475299995,0.07816607585,FALSE,TRUE
,DigiByte,DGB,,DigiByte,0.00004435905683,0.047264404,1065.496144,0,dgb,1,4,3545.177883,8,2854.781216,6,21.30992288,TRUE,TRUE,0.007051832327,0.01167631801,0.0618648385,FALSE,TRUE
,Monero,XMR,,Monero,0.4057102629,217.7325639,536.6700914,0,xmr,1,5,1336.731001,13,1004.271417,9,13.41675229,FALSE,TRUE,0.01150913338,0.02212770557,0.1172396067,FALSE,FALSE
,NavCoin,NAV,,NavCoin,0.000737569,0.35872928,486.3670789,0,nav,1,6,6677.748262,6,4721.682186,4,14.59101237,FALSE,TRUE,0.004991702596,0.01058944631,0.05610624729,FALSE,TRUE
,EarthCoin,EAC,,EarthCoin,0.00000675302213,0.00273487,404.984605,0,eac,1,7,1479.441481,12,636.7331852,15,14.17446118,FALSE,TRUE,0.01126551261,0.02094022056,0.1109479342,FALSE,FALSE
,Syscoin,SYS,,Syscoin,0.0006218537853,0.115541652,185.8019598,0,sys,1,8,1658.147306,11,1282.897547,8,7.432078391,FALSE,FALSE,0.0109651405,0.01948713681,0.1032490354,FALSE,FALSE
,Bitcoin,BTC,,Bitcoin,260.936,35968.99367,137.8460376,0,btc,1,9,243.6485423,35,224.8391496,27,6.203071692,FALSE,FALSE,0.02345298543,0.03294536303,0.1745549891,FALSE,FALSE
,Dash,DASH,,Dash,1.606459176,139.9363327,87.10855201,0,dash,1,10,929.7408757,20,673.5447767,13,4.355427601,FALSE,FALSE,0.01075568501,0.02284126597,0.1210202761,FALSE,FALSE
,BitBay,BAY,,BitBay,0.00677903,0.581792461,85.82237592,0,bay,1,11,1110.27533,17,351.7520796,22,4.720230675,FALSE,FALSE,0.01059620579,0.02584464917,0.1369331535,FALSE,FALSE
,FedoraCoin,TIPS,,FedoraCoin,0.0000001484947498,0.0000124,83.50463579,0,tips,1,12,1157.567568,16,665.5405405,14,5.010278148,FALSE,FALSE,0.01079850572,0.02146482959,0.1137274794,FALSE,FALSE
,Litecoin,LTC,,Litecoin,1.939972243,144.0776023,74.26786793,0,ltc,1,13,198.2871765,40,131.8524124,34,4.827411416,FALSE,FALSE,0.02521595238,0.0446131613,0.2363746873,FALSE,FALSE
,MonaCoin,MONA,,MonaCoin,0.02100636558,1.499243742,71.37092497,0,mona,1,14,782.9296376,22,488.431555,17,4.995964748,FALSE,FALSE,0.01161139987,0.02408670317,0.1276189977,FALSE,FALSE
,Stellar,XLM,,Stellar,0.00440824505,0.281390665,63.83280916,0,xlm,1,15,198.6194052,39,112.1111476,39,4.787460687,FALSE,FALSE,0.02581925529,0.04574215175,0.242356437,FALSE,FALSE
,Burst,BURST,,Burst,0.0004044508,0.024501691,60.58015215,0,burst,1,16,301.4874979,33,134.0330992,33,4.846412172,FALSE,FALSE,0.02010234621,0.04521723438,0.2395752582,FALSE,FALSE
,ReddCoin,RDD,,ReddCoin,0.0000306385743,0.001843869,60.18129244,0,rdd,1,17,998.8463399,19,397.3400654,20,5.115409857,FALSE,FALSE,0.01053847361,0.02516735882,0.1333446543,FALSE,FALSE
,Bytecoin,BCN,,Bytecoin,0.000007793200065,0.000422481,54.21149161,0,bcn,1,18,8665.70154,5,833.5091142,10,4.879034245,FALSE,FALSE,0.004615898645,0.02399493858,0.1271327998,FALSE,FALSE
,I/O Coin,IOC,,I/O Coin,0.001610470011,0.086842889,53.92394048,0,ioc,1,19,11301.05755,3,6502.237005,3,5.122774346,FALSE,FALSE,0.005899152923,0.01025288168,0.05432302106,FALSE,TRUE
,Myriad,XMY,,Myriad,0.00006876437288,0.003671341,53.39016189,0,xmy,1,20,885.5508721,21,282.5174419,25,5.339016189,FALSE,FALSE,0.0107546724,0.02831683576,0.1500315827,FALSE,FALSE
,Rubycoin,RBY,,Rubycoin,0.002000164079,0.103096148,51.54384536,0,rby,1,21,1235.921995,15,771.8833336,11,5.412103762,FALSE,FALSE,0.01078816736,0.02355513766,0.124802595,FALSE,FALSE
