CoinMarketCap,Name,Symbol,MarketCap,CoinGecko,Name,Return,Rank - Return,Max Return,Rank - Overall Max,adjusted e-value,pass 5% threshold?,pass 10% threshold?,p-value (Max),,,,Return (30%),Max Return (30%)
,BitBay,BAY,170012,,BitBay,29215731058,1,29215731058,1,146078655.3,TRUE,TRUE,0.000000006845627091,0.0000000362703049,TRUE,TRUE,4124814344,4124814344
,NetCoin,NET,53288,,NetCoin,408509.1478,2,551654.647,2,4085.091478,TRUE,TRUE,0.0001812728317,0.0009604409925,TRUE,TRUE,163387.1275,191705.1485
,Anoncoin,ANC,270543,,Anoncoin,135455.1502,3,135455.1502,3,2031.827253,TRUE,TRUE,0.0004921678251,0.002607661335,TRUE,TRUE,63777.85374,63777.85374
,WorldCoin,WDC,468650,,WorldCoin,22119.45355,4,39928.92518,4,442.389071,TRUE,TRUE,0.001252225042,0.006634685686,TRUE,TRUE,9309.161165,12962.8953
,CannabisCoin,CANN,193676,,CannabisCoin,4782.399875,5,7159.534317,5,119.5599969,TRUE,TRUE,0.005586955552,0.02960146362,TRUE,TRUE,2207.5535,2778.605431
,FedoraCoin,TIPS,42113,,FedoraCoin,3332.091586,6,5999.666997,6,99.96274757,TRUE,TRUE,0.005555863909,0.02943673024,TRUE,TRUE,1294.507742,1803.040409
,Bitswift,BITS,158503,,Bitswift,2816.076036,7,5379.036402,7,98.56266125,TRUE,TRUE,0.005311625807,0.02814267926,TRUE,TRUE,1721.560597,2491.300687
,WhiteCoin,XWC,64406,,WhiteCoin,1823.226813,8,2341.80112,10,72.92907253,TRUE,TRUE,0.008540434892,0.04524993451,TRUE,TRUE,301.0334211,348.4716748
,Infinitecoin,IFC,350207,,Infinitecoin,1711.712273,9,2862.617966,8,77.02705229,TRUE,TRUE,0.008733264548,0.04627160722,TRUE,TRUE,701.2145255,938.5818698
,Magi,XMG,35535,,Magi,1649.735632,10,2656.757417,9,82.48678159,TRUE,TRUE,0.008364415237,0.04431732651,TRUE,TRUE,884.5298939,1125.396652
,EarthCoin,EAC,48704,,EarthCoin,1589.997496,11,1966.616273,11,87.44986229,TRUE,TRUE,0.009245229193,0.04898415839,TRUE,TRUE,361.1493568,409.1061725
,Bitmark,BTM,101392,,Bitmark,858.6794276,12,858.6794276,13,51.52076566,TRUE,TRUE,0.01791659948,0.09492783017,FALSE,TRUE,475.2666341,475.2666341
,SuperCoin,SUPER,35063,,SuperCoin,647.8105247,13,1541.336454,12,42.1076841,TRUE,TRUE,0.0108131269,0.05729137803,FALSE,TRUE,334.5552963,536.5450501
,Einsteinium,EMC2,41310,,Einsteinium,566.7675357,14,566.7675357,17,39.6737275,TRUE,TRUE,0.02075755074,0.1099800916,FALSE,FALSE,98.91276994,98.91276994
,DigiByte,DGB,127346,,DigiByte,523.6965987,15,795.9797865,14,39.2772449,TRUE,TRUE,0.01794733299,0.09509066609,FALSE,TRUE,128.9610404,163.6743944
,Bitstar,BITS,51849,,Bitstar,518.8241806,16,518.8241806,19,41.50593445,TRUE,TRUE,0.02028879182,0.107496458,FALSE,FALSE,165.3097641,165.3097641
,Maxcoin,MAX,196394,,Maxcoin,383.319232,17,658.8889984,16,32.58213472,TRUE,TRUE,0.01897132906,0.1005161222,FALSE,FALSE,199.6753438,266.5680277
,Mooncoin,MOON,77437,,Mooncoin,365.6173488,18,788.0315612,15,32.90556139,TRUE,TRUE,0.0169197961,0.08964644949,FALSE,TRUE,168.859736,256.5290439
,NuShares,NSR,3525777,,NuShares,362.8156461,19,542.2706098,18,34.46748638,TRUE,TRUE,0.02048997477,0.1085623892,FALSE,FALSE,247.2889945,303.0236545
,ArtByte,ABY,28028,,ArtByte,314.6249385,20,480.0680208,21,31.46249385,TRUE,TRUE,0.01983845853,0.1051104494,FALSE,FALSE,194.8782905,245.782691
,NobleCoin,NOBL,81729,,NobleCoin,306.7657212,21,499.1691913,20,32.21040072,TRUE,TRUE,0.02003328766,0.1061427159,FALSE,FALSE,134.0884353,175.5230527
,Dogecoin,DOGE,15405093,,Dogecoin,289.2496954,22,311.1304748,24,31.81746649,TRUE,TRUE,0.02678404723,0.1419103826,FALSE,FALSE,61.05964169,63.75754463
,NavCoin,NAV,41982,,NavCoin,220.2910142,23,334.1065236,22,25.33346663,TRUE,TRUE,0.02720961265,0.1441651633,FALSE,FALSE,56.48699195,65.67087262
,Bullion,CBX,48576,,Bullion,189.6315647,24,315.654834,23,22.75578777,TRUE,TRUE,0.02754797721,0.1459579261,FALSE,FALSE,80.76819469,106.2105417
,GoldCoin,GLC,141863,,GoldCoin,182.1464021,25,216.4996749,28,22.76830026,TRUE,TRUE,0.03299246129,0.1748045306,FALSE,FALSE,72.53642424,80.27302819
,Syscoin,SYS,237099,,Syscoin,161.8203221,26,298.1741804,25,21.03664187,TRUE,TRUE,0.02682995553,0.1421536193,FALSE,FALSE,45.77335845,64.54601583
,Pandacoin,PND,427322,,Pandacoin,161.3744933,27,176.0287623,30,21.78555659,TRUE,TRUE,0.03787259865,0.2006610472,FALSE,FALSE,63.23889874,66.56372853
,Digitalcoin,DGC,156313,,Digitalcoin,154.8193014,28,266.8428355,26,21.67470219,TRUE,TRUE,0.0288271097,0.1527351759,FALSE,FALSE,107.9633502,147.7568537
,CryptCoin,CRYPT,31701,,CryptCoin,118.513534,29,140.0932297,33,17.18446243,FALSE,TRUE,0.04326123449,0.22921175,FALSE,FALSE,70.02488365,77.1719556
,MintCoin,MINT,162088,,MintCoin,107.2118337,30,242.1015404,27,16.08177506,FALSE,TRUE,0.03059628367,0.1621088211,FALSE,FALSE,55.10458457,87.17660727
,Monero,XMR,2316422,,Monero,99.50947696,31,132.2718848,35,15.42396893,FALSE,TRUE,0.04320106063,0.2288929298,FALSE,FALSE,24.9518397,29.4307947
,ReddCoin,RDD,783704,,ReddCoin,95.48718549,32,177.2263697,29,15.27794968,FALSE,TRUE,0.03891380124,0.2061776689,FALSE,FALSE,40.75979076,57.7090594
